,company name,job_title,Location,Estimated salary,posted,rating,link
0,GoTo,Staff Machine Learning Engineer,Bangalore,₹2L - ₹8L (Glassdoor Est.),28d,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&cs=1_a1a53101&cb=1681829886222&jobListingId=1008540696660&cpc=280AB1FAEDD8D536&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-b7360f8e72a84d41--6NYlbfkN0DXrBR656PqShB4nd9ExliYcIGoAa-Cw4zASH8sJAtKR0FvrpJ2QL2iqpKuANXEDxSPWygzAbdd92PIgVmTna7S1L961VIFwuG1g1nhjSFHk2UBaHpjLh1ewUeAOHrveNDhiAl8VdV9kk58fR0WqtKSB012CZN286GWtNNhQFU20NGdd9mBxfjBQcgZNKAeglMVmogj0bUeKc-EKimD1XC3bYsEbGlk_luv8a9tnDbJ1V3M5JeItXf5uaDZKcI7wMj9MDi52o0HMfBytN-0jxOD4SJYs_2G7hrom21Ffs5rq5aFyLZyX9OrqAjG_reOaUKmuMEZeujZqC4OJ1zBnNk31hUF0cimkXL_rg81POT7JJZtAMlhxTFTlbOdgma2NydABeLt5YA6piSCAQEZI1pYMZG1cJiWgqqFySQNHu8lDsClWYiVfYFaZXVgMVJ3NXhjLUg0hxTgqWYigSinhixUNwzkDhVB4EY69peu2ZVHLK4w9AYe2EDNBQrWsZkA_RACDsDPr5Cdfb7Jem9jkPmd3uSt6u9Ej7nca67G98x6lWetEoEOcZGUNKEMfrYE9tcCfzo6tnSYsZ0YGa1GNk4k-b2Srfp-DAobS4AevgXbldIbKLEEIACGtC5FJCPehNtYcag2Lmyc8vn67iELPVdeexmGblsp3rKegfrRDwCAhZ6wSG8V3FC6QTbXCiQhMssAipf52OOZ7mxKjaebApCtvEiSZFaqqv0O7YyjN_9HYIjIwjvYUGl2fsp_2qqgB51XMz0GwKSyT3jgWN_o0nQ7-0afK1ZTMjQ9N9aZfYs06tfdQojJT0v4HWUYlGVuEgPaJBzLWH7WlvC23TWcP4Ek9nzabA1H0QQL582UZOSLX_pQaTJZmIRbUAwyK2Ddqi6UJLrbBiAav-pedGBw-ap9u0c13QxsbUjaO7z4mjKYAB1v0tQbCONyD-IH5i5YfCqaWltvpR5aJ8lqCtM0TMkfPWp6hY1A8BMXSiOOCchIWuMm1F4PGCQFXG7G6EnDlX9MjJa2-VzFGy7leN22BXLwuWX088QpHkVIfnii_dSkb_OYjKEVXv-gh5-Lw1_vLBDuxEdzY_sz5g%3D%3D
1,Getinz,Data Scientist & Analytics - GWTZ - GGN,Gurgaon,₹10L - ₹15L (Employer Est.),10d,4.4,https://www.glassdoor.co.in/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&cs=1_660e5492&cb=1681829886222&jobListingId=1008576880822&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-4e31434c9d5173a3-
2,Raptor Supplies Limited,Data Scientist,New Delhi,₹6L - ₹25L (Employer Est.),1 day ago,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c94171d1&cb=1681829886223&jobListingId=1008592457678&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-649a18a05f90567b-
3,TrueFan,Machine Learning Intern (GANs),Gurgaon,₹10T - ₹30T (Employer Est.),1 day ago,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fced390b&cb=1681829886223&jobListingId=1008592100780&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-bf096c54ea8642f5-
4,Terminal Trend Technologies,Data Scientist,Ahmedabad,₹8L - ₹10L (Employer Est.),7d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8878814f&cb=1681829886223&jobListingId=1008581005896&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-614e163d4ee151d9-
5,DataStunt,Data Scientist,Noida,₹10T - ₹40T (Employer Est.),17d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_29495447&cb=1681829886223&jobListingId=1008563019223&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-67cdf6093e3cf330-
6,Mercedes-Benz Research and Development India Private Limited,Data and Analytics Engineer,Bangalore,₹7L - ₹7L (Glassdoor Est.),5d,4.0,https://www.glassdoor.co.in/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&cs=1_50f695d4&cb=1681829886223&jobListingId=1008584704633&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-041e8386cab1b588-
7,Iris software,Data Scientist,Noida,₹6L - ₹7L (Glassdoor Est.),30d+,4.4,https://www.glassdoor.co.in/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&cs=1_979f5928&cb=1681829886223&jobListingId=1008528595392&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-befb9f3c90b653e7-
8,Aventior,Data Scientist,Pune,₹5L - ₹10L (Employer Est.),3d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_13249d0f&cb=1681829886224&jobListingId=1008588942115&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-f7a6e8acc5758f99-
9,H.S. Corporation,Machine Learning Intern,Bharatpur,₹10T - ₹15T (Employer Est.),1 day ago,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fd65447d&cb=1681829886224&jobListingId=1008592293652&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-decbd1639365820b-
